Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,GHI,1.0,1.0,53,,,70.63681174182432,0.49243669098955,0.011393917042319634,0.2403631867374759,0.9038880984857073,0.6688207002841062,0.7537580517009871,0.8134535020272722,0.7453440846707885
ELM_corr,GHI,1.0,1.0,270,5.0,0.0,117.3479467598305,0.8180781829173819,0.030045763022435383,0.4527224517777219,0.7347435320668729,1.2597193078614828,1.2522077021835383,1.199877675486084,1.2372682285103682
ELM_corr,GHI,1.0,1.0,270,5.0,1.0,125.15429115315624,0.872499246198442,0.12960755528814766,0.4997420243061429,0.6982783446404907,1.390553250664317,1.3355083891161017,1.257432415205478,1.3278313516619655
ELM_corr,GHI,1.0,1.0,270,5.0,2.0,127.1906027617407,0.8866951665072462,0.013704967396571848,0.5050595387666023,0.6883802010300228,1.405349458825343,1.3572376579335097,1.28167569694269,1.3480876045671808
ELM_corr,GHI,1.0,1.0,270,5.0,3.0,127.59175286019098,0.8894917398830802,0.025370702355224442,0.4866131766014591,0.686411447980357,1.3540216784424841,1.3615182887999293,1.3203831316907613,1.3453076996443916
ELM_corr,GHI,1.0,1.0,270,5.0,4.0,105.94890114430063,0.7386110019258763,0.04062590856362411,0.41006621177438535,0.7837740043121473,1.1410265217582674,1.1305696751755179,1.0880430947205748,1.1198797638847868
ELM_corr,GHI,1.0,1.0,540,10.0,0.0,103.956889884683,0.7247239165816884,0.008386115324304506,0.39088114934361073,0.7918283673599285,1.0876432767442987,1.1093131307620505,1.098670658235332,1.098542355247227
ELM_corr,GHI,1.0,1.0,540,10.0,1.0,105.2280004425058,0.7335853227174006,0.07180804210640174,0.4039852690512425,0.786706496433662,1.1241060422718558,1.1228770189661634,1.0848381688030093,1.1106070766803429
ELM_corr,GHI,1.0,1.0,540,10.0,2.0,102.43947026936992,0.714145394196809,0.04029632807592834,0.39031895059616034,0.7978612200387816,1.0860789350284463,1.093120904291925,1.0629713347259622,1.080723724682111
ELM_corr,GHI,1.0,1.0,540,10.0,3.0,98.56917107259237,0.687164033025433,0.08949960742149224,0.38470866936427434,0.8128468243157025,1.0704680909835178,1.051821345179242,1.0092152745664609,1.0438349035764067
ELM_corr,GHI,1.0,1.0,540,10.0,4.0,103.92284007852885,0.7244865421382798,0.045292409567833064,0.4031576770567104,0.7919647131647882,1.121803232657599,1.1089497888314812,1.069670357711025,1.1001411264000351
ELM_corr,GHI,1.0,1.0,1350,25.0,0.0,92.22348605033393,0.642925794387991,0.03503236125671386,0.3446656819096031,0.8361682534235797,0.9590467902659847,0.9841072020697285,0.976521605854873,0.973225199396862
ELM_corr,GHI,1.0,1.0,1350,25.0,1.0,91.29091749619799,0.6364244962461937,0.05452207484998767,0.34018973641286027,0.8394648508539301,0.9465922832252096,0.9741558602819321,0.9717981378069254,0.9641820937713558
ELM_corr,GHI,1.0,1.0,1350,25.0,2.0,87.95627871683561,0.6131774322060375,0.024355442436405708,0.32424089167696885,0.8509785840021405,0.9022139503791246,0.9385722776218659,0.943483090962222,0.9280897729877374
ELM_corr,GHI,1.0,1.0,1350,25.0,3.0,90.81172813839035,0.6330838808376349,0.0418236504558199,0.3406331333825358,0.841145737441759,0.9478260539859797,0.9690424806172739,0.9605877014473709,0.9591520786835416
ELM_corr,GHI,1.0,1.0,1350,25.0,4.0,83.44092214942211,0.5816991251892659,0.01627823868475036,0.3064132701845402,0.8658862882565836,0.8526078420028493,0.8903893785772642,0.9030532642434551,0.8820168282745229
ELM_corr,GHI,1.0,1.0,2700,50.0,0.0,81.55846296644245,0.5685757699849353,0.02376240033510131,0.2881875979078709,0.871869341754804,0.8018941405384726,0.8703018529489064,0.9082516665549006,0.8601492200140931
ELM_corr,GHI,1.0,1.0,2700,50.0,1.0,80.18682002576479,0.5590135135032126,0.021156552284940372,0.2871459186959597,0.8761428809248211,0.7989956242164089,0.8556651941714203,0.8838569828015048,0.8461726003964447
ELM_corr,GHI,1.0,1.0,2700,50.0,2.0,78.9705934681778,0.5505347250819463,0.019380164530817357,0.281750510536617,0.8798715715197261,0.7839826735544115,0.8426869674102178,0.8773383594192269,0.8346693334612855
ELM_corr,GHI,1.0,1.0,2700,50.0,3.0,80.78796247213283,0.5632043113294906,0.040184533887115306,0.2930900548502864,0.8742788623598421,0.8155354336576232,0.8620799225261664,0.8799367431550602,0.8525173664462832
ELM_corr,GHI,1.0,1.0,2700,50.0,4.0,77.41526481407084,0.5396919240417605,0.02607260557500237,0.27850405275307155,0.8845568417358591,0.7749492679081255,0.8260902175404862,0.8531413299087174,0.8180602717857764
ELM_corr,GHI,1.0,1.0,5400,100.0,0.0,72.96445284950005,0.5086635825579928,0.011478569824481156,0.251299672705247,0.8974495306593184,0.699251933547796,0.7785960672217521,0.8306798135420282,0.7695092714371922
ELM_corr,GHI,1.0,1.0,5400,100.0,1.0,72.96243364575557,0.5086495059032593,0.01919340372539724,0.2507325676644673,0.8974552065033328,0.6976739398639163,0.7785745205091684,0.8294962458292655,0.7685815687341168
ELM_corr,GHI,1.0,1.0,5400,100.0,2.0,74.74360880574181,0.5210667707858002,0.013325164671738264,0.257242828517297,0.8923874016384069,0.7157890151452965,0.7975812548906196,0.8480666613586672,0.7871456437981944
ELM_corr,GHI,1.0,1.0,5400,100.0,3.0,74.46868723415447,0.5191501855711541,0.016548042198823082,0.2564000025652255,0.8931775859870205,0.7134438164019558,0.7946475954705478,0.8475009688732859,0.7851974602485964
ELM_corr,GHI,1.0,1.0,5400,100.0,4.0,73.44370171051847,0.5120046127865795,0.01007580966766951,0.2483979279077536,0.8960979519310986,0.6911777063175465,0.7837100818389672,0.8432199347421248,0.772702574299546
ELM_corr,GHI,1.0,1.0,13500,250.0,0.0,70.58867722346783,0.49210112653870136,0.007810517577354588,0.23321361906173874,0.904019042216271,0.6489267268162067,0.7532444132753379,0.8221259724458406,0.741432370845795
ELM_corr,GHI,1.0,1.0,13500,250.0,1.0,71.02092483940551,0.49511449280526576,0.01221512268115032,0.23341167930164577,0.9028399702840887,0.6494778377835352,0.7578568825078453,0.8288000651015471,0.7453782617976424
ELM_corr,GHI,1.0,1.0,13500,250.0,2.0,71.57405014136238,0.498970544440124,0.00938062390825859,0.23749187808537553,0.9013206730801158,0.6608311629115342,0.7637592249220722,0.8354558609128127,0.7533487495821397
ELM_corr,GHI,1.0,1.0,13500,250.0,3.0,72.00515592027047,0.5019759505166029,0.01645277599620893,0.23805136799140417,0.9001283597917801,0.6623879671619316,0.7683595097307139,0.8391896289483652,0.7566457019470035
ELM_corr,GHI,1.0,1.0,13500,250.0,4.0,70.72445922860574,0.4930477157130603,0.012513324964135876,0.2327385632146881,0.9036494355925812,0.6476048638944711,0.7546933288920687,0.825543422247747,0.7426138716780956
