Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,GHI,1.0,1.0,53,,,99.64308266951414,0.3493124300691383,0.0123232794843785,0.2396651620490181,0.8421875014202683,0.6780726065628077,0.7549423200430442,0.8136409830398538,0.7488853032152352
ELM_corr,GHI,1.0,1.0,270,5.0,0.0,165.55014412405538,0.5803586319591315,0.0309922645087745,0.4522195624582099,0.5643816031013846,1.2794420967700548,1.254284858919892,1.2001591341510502,1.2446286966136657
ELM_corr,GHI,1.0,1.0,270,5.0,1.0,176.56410703432888,0.6189695826223036,0.1306455433741555,0.4992823409264861,0.5044905621721232,1.4125944523115963,1.337731762504037,1.2577276804357498,1.3360179650837944
ELM_corr,GHI,1.0,1.0,270,5.0,2.0,179.43712652927755,0.6290413447008124,0.0146364534458275,0.504604741611928,0.4882336836000596,1.427652853270227,1.359499093912673,1.2819767698778008,1.3563762390202336
ELM_corr,GHI,1.0,1.0,270,5.0,3.0,180.00310626513158,0.6310254639352282,0.0263129079626531,0.4861414292200729,0.4850001702740911,1.3754155307812457,1.3637872195249665,1.3206934687956242,1.3532987397006118
ELM_corr,GHI,1.0,1.0,270,5.0,4.0,149.46710702060534,0.5239773496564606,0.0415821320679938,0.4095241259492285,0.6449100804594419,1.1586460424980507,1.1324322925507095,1.0882976316638229,1.126458655570861
ELM_corr,GHI,1.0,1.0,540,10.0,0.0,146.65653679104292,0.5141245120036488,0.0093127139194559,0.3903214345054934,0.6581387026330605,1.1043168319905523,1.1111381058103496,1.098927759928357,1.1047942325764195
ELM_corr,GHI,1.0,1.0,540,10.0,1.0,148.4499739498056,0.5204116508126868,0.0727929186442628,0.4034375954924796,0.6497264551463662,1.1414257275534554,1.1247260195241224,1.0850919320002188,1.1170812263592655
ELM_corr,GHI,1.0,1.0,540,10.0,2.0,144.51557325078738,0.5066190720182508,0.0412522487312086,0.3897587191577431,0.6680471619667424,1.102724769717756,1.0949171706595484,1.0632198148505378,1.086953918409281
ELM_corr,GHI,1.0,1.0,540,10.0,3.0,139.0548565809876,0.487475784207963,0.0905007406087834,0.3841432826796386,0.6926597720324581,1.0868372973077385,1.0535442423904628,1.0094507351818625,1.0499440916266878
ELM_corr,GHI,1.0,1.0,540,10.0,4.0,146.60849515121166,0.5139560954763358,0.0462529210857019,0.4026092430297421,0.6583626392903414,1.139082111532007,1.1107741200116243,1.069920457071778,1.1065922295384696
