Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_both,PAC,1.0,0.5,27000,1m,50.0,1.0,both,10.0,10.0,1361.673513594589,0.5689892942846597,0.005383297513396165,0.2849412848479007,0.8784243252644143,1.1893390207492935,1.1617831235065665,1.1140285539511068,1.1550502327356555
Persistence_P,PAC,1.0,0.5,0,1m,,,both,10.0,10.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,1.0,27000,1m,50.0,1.0,both,10.0,10.0,1424.7398700912493,0.5953422205315775,0.0056031846806705475,0.30006414646974094,0.8669018974092362,0.7913797679239393,0.8365032287687078,0.8552950410138537,0.8277260125688336
Persistence_P,PAC,1.0,1.0,0,1m,,,both,10.0,10.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,3.0,27000,1m,100.0,1.0,both,300.0,300.0,1742.7503507470801,0.7282261733712148,-0.026507360420045825,0.3829020472311001,0.8008542390736142,0.43073963712570446,0.4843950479828255,0.5179510442710755,0.47769524312653516
Persistence_P,PAC,1.0,3.0,0,1m,,,both,300.0,300.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,6.0,27000,1m,100.0,1.0,both,300.0,300.0,1738.1348321920177,0.7262975314323186,-0.02559357717731518,0.38058926737368237,0.8019076817500164,0.25228552637271195,0.3152438881756979,0.351428005206591,0.3063191399183336
Persistence_P,PAC,1.0,6.0,0,1m,,,both,300.0,300.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,10.0,27000,1m,100.0,1.0,both,300.0,300.0,1739.8949857477608,0.7270330297140404,-0.024702645068446355,0.3816539411402662,0.80150627509638,0.19812177347972107,0.27149488034002894,0.31324326288744314,0.26095330556906443
Persistence_P,PAC,1.0,10.0,0,1m,,,both,300.0,300.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
