Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_both,PAC,1.0,0.5,27000,1m,50.0,1.0,both,10.0,10.0,1920.8085584636137,0.4032869586095302,0.0038704573321078667,0.28336687073316874,0.8065418525767216,1.1842208916165131,1.1616316871897132,1.11401747845954,1.1532900190885889
Persistence_P,PAC,1.0,0.5,0,1m,,,both,10.0,10.0,1653.5435281647192,0.34717282857975873,-0.00029020763524014993,0.2392854852833753,0.8566326941601072,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,1.0,27000,1m,50.0,1.0,both,10.0,10.0,2009.6770052293523,0.42194549980281515,0.0040845531135356794,0.2984831475732175,0.7882266108236664,0.7927078923359026,0.8367480215442009,0.8553201406988016,0.828258684859635
Persistence_P,PAC,1.0,1.0,0,1m,,,both,10.0,10.0,2401.7708479555595,0.5042682969529149,-0.0027541122237438715,0.37653611179985325,0.6975302142441537,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,3.0,27000,1m,100.0,1.0,both,300.0,300.0,2458.017275781088,0.5160776210578384,-0.029927895482314587,0.3794339957167279,0.6831974109152157,0.46987643539140994,0.4993038064720765,0.5256087428592682,0.4982629949075849
Persistence_P,PAC,1.0,3.0,0,1m,,,both,300.0,300.0,4922.8891186483515,1.033594405587012,-0.0822022928318707,0.8075186732883446,-0.270746635021359,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,6.0,27000,1m,100.0,1.0,both,300.0,300.0,2451.5841312562507,0.5147269381497029,-0.028833695328277367,0.37730184414328294,0.6848535179552013,0.3422559663282554,0.36265951861246143,0.3830951141544765,0.3626701996983978
Persistence_P,PAC,1.0,6.0,0,1m,,,both,300.0,300.0,6760.015952803427,1.4193118110316056,-0.40737794255866905,1.1023966892118846,-1.396151657556775,1.0,1.0,1.0,1.0
ELM_rolling_1m_both,PAC,1.0,10.0,27000,1m,100.0,1.0,both,300.0,300.0,2453.9043781810324,0.5152140899386698,-0.028308103510747282,0.37800040819406416,0.684256709003157,0.35173026112167166,0.366533611784767,0.3844311573356032,0.36756501008068065
Persistence_P,PAC,1.0,10.0,0,1m,,,both,300.0,300.0,6694.895909360681,1.405639410339289,-0.852101777981559,1.0746883335787392,-1.3502091813392534,1.0,1.0,1.0,1.0
