Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,1523.9844515944746,0.3204279996460382,-0.013953110765921574,0.21551814970164931,0.8781426183918788,0.901517077316385,0.923625976897999,0.930546411154593,0.9185631551229924
ELM,PAC,1.0,0.5,27000,500.0,100.0,25.0,1.25,1371.7442960659223,0.28841848114289503,-0.0021968590758366475,0.18575931810237334,0.9012727373504341,0.7770352416804118,0.8313593122177618,0.8574730947068091,0.8219558828683277
Persistence_P,PAC,1.0,0.5,0,,,,,1650.0017211650777,0.34692397968514993,-0.0002763530957618729,0.23906163856950854,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139326,0.429192073735459,0.4478360384278348,1.7953197188124723,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_opti,PAC,1.0,1.0,0,,,,,1947.2216351765815,0.40941646929160946,-0.03124925571122549,0.28232129529516437,0.8010602617057462,0.7500471023815477,0.8121582119343045,0.8484707796949157,0.8035586980035893
ELM,PAC,1.0,1.0,27000,500.0,100.0,25.0,1.25,1676.1392689364664,0.3524195752204431,-0.005092584861192185,0.23633811372643282,0.8525954220506078,0.6278829133222237,0.6990936455412102,0.7508472996119541,0.6926079528251293
Persistence_P,PAC,1.0,1.0,0,,,,,2397.5890492308317,0.5041092526990629,-0.002691673893072259,0.37640475431308046,0.6983938017182258,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139326,0.429192073735459,0.4478360384278348,1.1402408413217646,1.3530501623044875,1.4293762140342645,1.3075557392201722
BLEND_opti,PAC,1.0,3.0,0,,,,,2701.844031219094,0.5679595267081966,-0.07335309387244765,0.3818854894353651,0.6169848867537547,0.4727836133700151,0.5492104428309822,0.6062177591342676,0.5427372717784217
ELM,PAC,1.0,3.0,27000,500.0,100.0,25.0,1.25,2338.110038543562,0.4914983454036398,-0.021569944997405416,0.34028657739647594,0.7131695501483477,0.42128313877726115,0.47527334472992194,0.521022169016458,0.4725262175078804
Persistence_P,PAC,1.0,3.0,0,,,,,4919.505931628067,1.0341382508689558,-0.08224470955262754,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,3244.4260851871327,0.6820166828620261,0.0004932302429671035,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730712,0.6429262248925509
BLEND_opti,PAC,1.0,6.0,0,,,,,3055.3639243818593,0.6422009785330718,-0.11535829149971133,0.42270567151451754,0.5101876540283095,0.38333530710552705,0.452209214204633,0.5046009684355095,0.4467151632485565
ELM,PAC,1.0,6.0,27000,500.0,100.0,25.0,1.25,2643.6065727524165,0.5556545046336943,-0.02708363178438367,0.38784479156217944,0.6333113390520144,0.35172133307338665,0.391267057056855,0.4273478572022379,0.3901120824441599
Persistence_P,PAC,1.0,6.0,0,,,,,6756.527351517545,1.4201412938093385,-0.4077291436022947,1.102704769634362,-1.3952503538388221,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,3244.610718741432,0.6819783927887411,0.0004940042289992673,0.42918912004937054,0.44763133759579066,0.38921489402071086,0.48021869074690837,0.538525708802498,0.4693197645233724
BLEND_opti,PAC,1.0,10.0,0,,,,,3138.9063692671284,0.659760601930543,-0.13451456859532235,0.43329210048349887,0.48303569511704747,0.4032919730637778,0.46926838488584394,0.518685233972501,0.4637485306407076
ELM,PAC,1.0,10.0,27000,500.0,100.0,25.0,1.25,2669.237930441796,0.5610419096684581,-0.028218497098661165,0.3955426566597621,0.6261663338218377,0.36815621207310445,0.3990526715796587,0.43091517346197916,0.3993746857049141
Persistence_P,PAC,1.0,10.0,0,,,,,6688.936374929052,1.4059344783924426,-0.8524654027893624,1.074388109418128,-1.347566830125361,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,3244.610718741432,0.6819783927887411,0.0004940042289992673,0.42918912004937054,0.44763133759579066,0.399473073358763,0.4850712485325212,0.5402874347378407,0.47494391887637494
