Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_m_est,c_welsch,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,1523.9844515944746,0.3204279996460382,-0.013953110765921574,0.21551814970164931,0.8781426183918788,0.901517077316385,0.923625976897999,0.930546411154593,0.9185631551229924
ELM,PAC,1.0,0.5,27000,500.0,100.0,25.0,1188.112392474399,1373.1707593760277,0.28871840466543974,-0.0028567388791125086,0.18119340791255764,0.9010672995839826,0.7579359406920262,0.8322238345341981,0.8667304512056708,0.8189634088106317
Persistence_P,PAC,1.0,0.5,0,,,,,1650.0017211650777,0.34692397968514993,-0.0002763530957618729,0.23906163856950854,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139326,0.429192073735459,0.4478360384278348,1.7953197188124723,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_opti,PAC,1.0,1.0,0,,,,,1947.2216351765815,0.40941646929160946,-0.03124925571122549,0.28232129529516437,0.8010602617057462,0.7500471023815477,0.8121582119343045,0.8484707796949157,0.8035586980035893
ELM,PAC,1.0,1.0,27000,500.0,100.0,10.0,1493.7093220010474,1687.8657508877554,0.35488514706443774,-0.003411702343201485,0.23261673376786166,0.8505256851415286,0.6179962689163567,0.7039845929515061,0.7620988880021211,0.6946932499566613
Persistence_P,PAC,1.0,1.0,0,,,,,2397.5890492308317,0.5041092526990629,-0.002691673893072259,0.37640475431308046,0.6983938017182258,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,3244.0582522012387,0.682085106183661,0.0004974542015139326,0.429192073735459,0.4478360384278348,1.1402408413217646,1.3530501623044875,1.4293762140342645,1.3075557392201722
BLEND_opti,PAC,1.0,3.0,0,,,,,2701.844031219094,0.5679595267081966,-0.07335309387244765,0.3818854894353651,0.6169848867537547,0.4727836133700151,0.5492104428309822,0.6062177591342676,0.5427372717784217
ELM,PAC,1.0,3.0,27000,500.0,100.0,25.0,2036.5850780911467,2400.4479420323532,0.5046025089868722,-0.025632620554685667,0.3368194665066961,0.69767090438226,0.41699077035852844,0.4879449228020234,0.5428846145646922,0.482606769241748
Persistence_P,PAC,1.0,3.0,0,,,,,4919.505931628067,1.0341382508689558,-0.08224470955262754,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,3244.4260851871327,0.6820166828620261,0.0004932302429671035,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730712,0.6429262248925509
BLEND_opti,PAC,1.0,6.0,0,,,,,3055.3639243818593,0.6422009785330718,-0.11535829149971133,0.42270567151451754,0.5101876540283095,0.38333530710552705,0.452209214204633,0.5046009684355095,0.4467151632485565
ELM,PAC,1.0,6.0,27000,500.0,100.0,25.0,2148.636507734075,2698.544524465245,0.567201805453422,-0.03430558864674013,0.3820856445904379,0.617912340954341,0.34649858703080705,0.39939814997702044,0.44200874204491547,0.395968493017581
Persistence_P,PAC,1.0,6.0,0,,,,,6756.527351517545,1.4201412938093385,-0.4077291436022947,1.102704769634362,-1.3952503538388221,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,3244.610718741432,0.6819783927887411,0.0004940042289992673,0.42918912004937054,0.44763133759579066,0.38921489402071086,0.48021869074690837,0.538525708802498,0.4693197645233724
BLEND_opti,PAC,1.0,10.0,0,,,,,3138.9063692671284,0.659760601930543,-0.13451456859532235,0.43329210048349887,0.48303569511704747,0.4032919730637778,0.46926838488584394,0.518685233972501,0.4637485306407076
ELM,PAC,1.0,10.0,27000,500.0,100.0,25.0,2050.41320406646,2712.961295277094,0.5702320383657025,-0.03150598637975809,0.38878449353930133,0.613818886535511,0.36186596829507073,0.40558934084731363,0.44301937892107096,0.40349156268781844
Persistence_P,PAC,1.0,10.0,0,,,,,6688.936374929052,1.4059344783924426,-0.8524654027893624,1.074388109418128,-1.347566830125361,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,3244.610718741432,0.6819783927887411,0.0004940042289992673,0.42918912004937054,0.44763133759579066,0.399473073358763,0.4850712485325212,0.5402874347378407,0.47494391887637494
