Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,PAC,1.0,1.0,53,,,1792.6398018341886,0.3769145972497413,0.0035963093277374706,0.26689648134506405,0.8313925192790087,0.7090677742159144,0.7476843466603602,0.7844675625113001,0.7470732277958582
ELM_corr,PAC,1.0,1.0,270,5.0,0.0,2966.562300645577,0.62373971258478,-0.030078470080593517,0.49855222357232504,0.5382597683479554,1.3245109628919471,1.2373105814765366,1.1769235526783837,1.2462483656822891
ELM_corr,PAC,1.0,1.0,270,5.0,1.0,2831.5059425035993,0.5953432032676177,-0.05667352658044601,0.47851232632735774,0.5793453204205015,1.2712706756337826,1.1809805118237306,1.1327283387558635,1.194993175404459
ELM_corr,PAC,1.0,1.0,270,5.0,2.0,2911.784742739452,0.6122223619405588,-0.12294882351473617,0.5000110160471675,0.5551543973208728,1.328386558133842,1.2144636478355535,1.1403409956071273,1.2277304005255079
ELM_corr,PAC,1.0,1.0,270,5.0,3.0,3177.105046772474,0.6680077436075643,-0.058419096077137855,0.5318086598465843,0.4703927537469875,1.4128638221297394,1.3251249407364944,1.2480618919654396,1.3286835516105577
ELM_corr,PAC,1.0,1.0,270,5.0,4.0,2719.3445670541387,0.5717605183293187,-0.021213913430738605,0.4464952857227377,0.6120111451636814,1.186210536945977,1.1341996110328119,1.0904024272979982,1.1369375250922624
ELM_corr,PAC,1.0,1.0,540,10.0,0.0,2782.011502601829,0.5849366637817769,0.010663070812139496,0.46585332417863545,0.5939227939125202,1.237639320015482,1.160337090918197,1.1026309165796357,1.166869109171105
ELM_corr,PAC,1.0,1.0,540,10.0,1.0,2702.9092596972296,0.5683048842154456,-0.05083787545011481,0.44973859764169066,0.6166868646024364,1.1948270910191896,1.1273446800920064,1.082476177044813,1.1348826493853366
ELM_corr,PAC,1.0,1.0,540,10.0,2.0,2627.5341479846566,0.5524567590958703,-0.01086824303534716,0.43310664364026663,0.6377674212934726,1.1506407362751414,1.0959068022218375,1.055510405877178,1.1006859814580523
ELM_corr,PAC,1.0,1.0,540,10.0,3.0,2456.169930786501,0.5164262777676228,0.00601590197801212,0.4139862727401125,0.6834753113001342,1.0998433680669533,1.0244332453780862,0.971640950368328,1.0319725212711226
ELM_corr,PAC,1.0,1.0,540,10.0,4.0,2763.363747047845,0.5810158475268606,-0.002244705525286939,0.45636252124409454,0.5993484002164492,1.2124249654522374,1.1525593795710558,1.0983397599224518,1.1544413683152484
ELM_corr,PAC,1.0,1.0,1350,25.0,0.0,2202.52000235979,0.46309467120753234,-0.01872626776433685,0.35276901395838595,0.7454749730420569,0.9372065839130311,0.918639498735773,0.9054162451383488,0.9204207759290509
ELM_corr,PAC,1.0,1.0,1350,25.0,1.0,2259.7773704558144,0.4751334186532891,-0.0082573134241872,0.36491379611848285,0.732069545800687,0.9694718037885359,0.9425207256351006,0.9261226290632606,0.9460383861622991
ELM_corr,PAC,1.0,1.0,1350,25.0,2.0,2076.1052358392462,0.43651511475633736,-0.011337237201245999,0.3254666843628248,0.773853694492042,0.8646720867189495,0.8659137129881702,0.8725942628789624,0.8677266875286941
ELM_corr,PAC,1.0,1.0,1350,25.0,3.0,2198.4615127078255,0.46224134641186104,-0.007032748786636526,0.363235828273573,0.7464121136503203,0.9650139221446867,0.9169467609193126,0.8943884936122287,0.9254497255587427
ELM_corr,PAC,1.0,1.0,1350,25.0,4.0,2056.6034721432784,0.43241473753521104,-0.008831359742279355,0.32653267922701945,0.7780823222356965,0.8675041308203584,0.857779807095405,0.8547975554140703,0.8600271644432779
ELM_corr,PAC,1.0,1.0,2700,50.0,0.0,1983.239300804667,0.4169894261790976,-0.008082227239888575,0.3126955986710018,0.7936326393279518,0.8307429571171472,0.8271806636090985,0.8345199465340514,0.830814522420099
ELM_corr,PAC,1.0,1.0,2700,50.0,1.0,2018.5796945158047,0.42441998208254894,-0.007955432910658512,0.3186838874518361,0.7862123712687245,0.8466521312500901,0.8419206348825222,0.8457280758740613,0.8447669473355578
ELM_corr,PAC,1.0,1.0,2700,50.0,2.0,1906.4859127216444,0.40085150916572687,-0.006816974412018859,0.2876306249938715,0.8092968042562758,0.7641524760195517,0.795167926435626,0.8222104966758671,0.7938436330436817
ELM_corr,PAC,1.0,1.0,2700,50.0,3.0,1917.8550202228719,0.40324194062358565,-0.008865282981254843,0.2949703907406126,0.807015549724005,0.7836521387167878,0.7999098180891914,0.8195124041080499,0.8010247869713432
ELM_corr,PAC,1.0,1.0,2700,50.0,4.0,1907.276484748632,0.40101773226132253,0.005336517047271478,0.2967122012712969,0.8091386117722267,0.7882796321549699,0.7954976626876501,0.8125013639639523,0.7987595529355241
ELM_corr,PAC,1.0,1.0,5400,100.0,0.0,1800.9782292463628,0.3786678077979731,-0.014429470506142947,0.2680137957075064,0.8298203227399614,0.7120361595767246,0.7511621851226477,0.7877286972242296,0.750309013974534
ELM_corr,PAC,1.0,1.0,5400,100.0,1.0,1791.4636789701965,0.37666730949280086,-0.004317217404084255,0.2627878140907671,0.8316136881508944,0.6981522180035731,0.7471938026847905,0.7879922843397824,0.7444461016760487
ELM_corr,PAC,1.0,1.0,5400,100.0,2.0,1811.2139678995895,0.3808199408188327,-0.00788604686276373,0.27004053553101304,0.8278804161939672,0.7174206288223518,0.7554313648874245,0.7910693816288854,0.7546404584462204
ELM_corr,PAC,1.0,1.0,5400,100.0,3.0,1816.5216998120702,0.38193592721724656,-0.0018623370496718321,0.26809025217717525,0.8268701510162861,0.7122392825946801,0.757645143730877,0.7980804515143752,0.7559882926133108
ELM_corr,PAC,1.0,1.0,5400,100.0,4.0,1793.7352759570158,0.3771449280654358,-0.004518606724024198,0.2632221849500469,0.8311863857678663,0.6993062173999741,0.7481412532028632,0.7921932597141386,0.7465469101056587
ELM_corr,PAC,1.0,1.0,13500,250.0,0.0,1730.671383732744,0.36388531979700856,-0.0033895429567093022,0.24463119102060787,0.8428479700203012,0.6499152527099381,0.7218382083818572,0.7816536092077451,0.7178023567665135
ELM_corr,PAC,1.0,1.0,13500,250.0,1.0,1724.821473596365,0.36265533677379075,-0.0005523941114395671,0.24283058874638816,0.8439085659694892,0.645131566389329,0.7193982947785416,0.7806284510595631,0.7150527707424779
ELM_corr,PAC,1.0,1.0,13500,250.0,2.0,1714.1102810834657,0.36040323637529853,-0.0031196614184685867,0.24452119098678005,0.8458412112569788,0.6496230140159063,0.7149308100290864,0.7703550136016813,0.711636279215558
ELM_corr,PAC,1.0,1.0,13500,250.0,3.0,1726.0941774591283,0.36292293133649145,-0.00355628472769677,0.24539615102838883,0.8436781288296504,0.6519475331182368,0.7199291213032838,0.7745306221796545,0.7154690922003918
ELM_corr,PAC,1.0,1.0,13500,250.0,4.0,1723.448304513303,0.36236661872158166,0.0034480367240623225,0.24440125592705736,0.844157002824209,0.6493043807936943,0.7188255656515451,0.7772632594179861,0.7151310686210751
ELM_corr,PAC,1.0,1.0,27000,500.0,0.0,1698.3389499450732,0.35708720773527985,-0.001453937118720258,0.2364002929251099,0.8486649552430301,0.6280481057061258,0.7083528140445569,0.7722519991589344,0.7028843063032056
ELM_corr,PAC,1.0,1.0,27000,500.0,1.0,1689.8293154354021,0.3552979997411957,0.00043372679926980545,0.23452065306463432,0.8501777034526906,0.6230544390774834,0.7048035675577993,0.7689636186978531,0.6989405417777119
ELM_corr,PAC,1.0,1.0,27000,500.0,2.0,1684.7713268644986,0.354234523563134,0.0001867429389229354,0.23394417155572358,0.8510732558447908,0.6215228922457682,0.7026939530796524,0.7654110604588651,0.6965426352614287
ELM_corr,PAC,1.0,1.0,27000,500.0,3.0,1680.9642210059515,0.35343405390386773,-0.002941255759368334,0.23470031101719968,0.8517455598710912,0.6235317389800663,0.7011060638374287,0.7631814023895857,0.695939735069027
ELM_corr,PAC,1.0,1.0,27000,500.0,4.0,1684.7157426881065,0.35422283661551807,-0.002222781002053802,0.2341427625902536,0.8510830825004689,0.6220504919433131,0.7026707697170116,0.767536435452673,0.6974192323709992
ELM_corr,PAC,1.0,1.0,54000,1000.0,0.0,1675.0176829886186,0.352183754217595,-0.00030867589659196274,0.2289087374917591,0.8527926271304256,0.6081451811348821,0.6986258481310545,0.7657268452045073,0.6908326248234813
ELM_corr,PAC,1.0,1.0,54000,1000.0,1.0,1677.1554646256086,0.35263323721127254,-0.0008486086229275478,0.2291746691649667,0.8524166334418833,0.6088516856892491,0.69951748618624,0.7669346644945484,0.6917679454566792
ELM_corr,PAC,1.0,1.0,54000,1000.0,2.0,1664.6437733456955,0.3500025698151473,-0.003158800883279177,0.22776496521775205,0.8546103834996307,0.6051065046545746,0.6942990392284818,0.7612351002454687,0.6868802147095083
ELM_corr,PAC,1.0,1.0,54000,1000.0,3.0,1674.7986292523096,0.35213769669353884,2.1317833545177074e-05,0.22909413347375765,0.8528311272809953,0.6086377253439393,0.6985344839598764,0.7650963283688188,0.6907561792242115
ELM_corr,PAC,1.0,1.0,54000,1000.0,4.0,1665.8538159370073,0.3502569894233099,-0.001232518189220614,0.22788194705242257,0.8543989369755117,0.6054172920007228,0.6948037306357518,0.763467314811765,0.6878961124827465
ELM_elastic_net,PAC,1.0,1.0,270,5.0,0.0,3071.160707729067,0.6457322324644008,-0.08967567987610651,0.5156694637293072,0.5051246118888412,1.3699865844425312,1.2809370766496966,1.2171500785773657,1.2893579132231978
ELM_elastic_net,PAC,1.0,1.0,270,5.0,1.0,2875.7261061621834,0.6046407906349401,-0.08556513934539788,0.4904257561509724,0.5661038368478606,1.3029212583830787,1.1994241077655665,1.1358469899511143,1.2127307853665865
ELM_elastic_net,PAC,1.0,1.0,270,5.0,2.0,2959.0679943310724,0.6221639841850716,-0.1395114040993026,0.5054314740484893,0.5405897728585676,1.3427871679540182,1.2341848138155154,1.1613649098855237,1.2461122972183525
ELM_elastic_net,PAC,1.0,1.0,270,5.0,3.0,3226.6136844125704,0.6784172682635534,-0.09369307191564245,0.5364511781148955,0.45375847427544846,1.4251976681163117,1.3457742833150232,1.273359115229949,1.3481103555537615
ELM_elastic_net,PAC,1.0,1.0,270,5.0,4.0,2801.5523199541067,0.5890452522972883,-0.11465798148941482,0.460301274547531,0.5881981961058184,1.2228891087934248,1.1684872855308002,1.1210910571063317,1.1708224838101857
ELM_elastic_net,PAC,1.0,1.0,540,10.0,0.0,2847.3838910686663,0.5986816489399893,-0.030464642795533126,0.475034229938153,0.5746143677393121,1.262030366234524,1.1876029764075429,1.1321136593651435,1.1939156673357367
ELM_elastic_net,PAC,1.0,1.0,540,10.0,1.0,2744.3725532392205,0.5770228210647986,-0.05779123782725213,0.46087614021217643,0.6048364263971724,1.224416362788116,1.1446384250543853,1.0922381350158132,1.1537643076194382
ELM_elastic_net,PAC,1.0,1.0,540,10.0,2.0,2654.7522494535506,0.5581795483268994,-0.026354083794640902,0.43624371503547077,0.6302239621438706,1.158975039599575,1.1072590819119812,1.0677814184917123,1.111338513334423
ELM_elastic_net,PAC,1.0,1.0,540,10.0,3.0,2486.495973891148,0.5228025326690654,-0.01196679647352827,0.41798456985622684,0.6756108718444513,1.1104657023236262,1.037081802942351,0.984493218429493,1.0440135745651566
ELM_elastic_net,PAC,1.0,1.0,540,10.0,4.0,2792.318632214896,0.5871038072329795,-0.08094046983425562,0.46527684606325076,0.5909082529263743,1.2361077821993969,1.164636046828249,1.1079402937710958,1.1695613742662472
ELM_elastic_net,PAC,1.0,1.0,1350,25.0,0.0,2260.2461064009026,0.4752319735441147,-0.03040235242650941,0.3670805788450607,0.7319583829388356,0.9752283270570374,0.9427162286739714,0.9164159872616494,0.9447868476642194
ELM_elastic_net,PAC,1.0,1.0,1350,25.0,1.0,2291.1852336396646,0.48173713351575254,-0.014891305843120456,0.37454771570327333,0.724570043770316,0.9950663784436089,0.9556204948361344,0.9303370392696433,0.9603413041831289
ELM_elastic_net,PAC,1.0,1.0,1350,25.0,2.0,2145.1919777623307,0.4510410677562612,-0.026989200269813426,0.3419593317668898,0.7585522858721547,0.9084883435942465,0.8947288020232357,0.8885210974877585,0.8972460810350803
ELM_elastic_net,PAC,1.0,1.0,1350,25.0,3.0,2266.789201155392,0.4766077033040096,-0.0114760438208605,0.38198667735569686,0.7304042510881094,1.0148295763500732,0.9454452596380513,0.9067804527487868,0.9556850962456371
ELM_elastic_net,PAC,1.0,1.0,1350,25.0,4.0,2132.9873571039802,0.44847496402737974,-0.016125943808502515,0.3417531343681443,0.7612918031299485,0.9079405359579646,0.8896384298169288,0.8768279981405697,0.8914689879718211
ELM_elastic_net,PAC,1.0,1.0,2700,50.0,0.0,2044.1836650835464,0.4298033894155003,-0.013904538149653943,0.32863424714574574,0.7807545461455013,0.8730873969577949,0.8525996837278428,0.8443556830347981,0.8566809212401453
ELM_elastic_net,PAC,1.0,1.0,2700,50.0,1.0,2069.2221296766193,0.4350678953068644,-0.011938252727116563,0.33197213964325567,0.7753507367898617,0.881955224633355,0.8630428681430808,0.8547611394686748,0.8665864107483702
ELM_elastic_net,PAC,1.0,1.0,2700,50.0,2.0,1940.8234792904889,0.4080712139054018,-0.011936817437730791,0.30046662713248207,0.8023654611567583,0.7982540700922292,0.8094896328931444,0.8222073165038162,0.8099836731630633
ELM_elastic_net,PAC,1.0,1.0,2700,50.0,3.0,1967.7852718607792,0.41374011246347475,-0.01472478847818985,0.31014495586628366,0.7968362683678848,0.823966627181111,0.8207350098183267,0.826474675755212,0.8237254375848831
ELM_elastic_net,PAC,1.0,1.0,2700,50.0,4.0,1945.2392951711572,0.4089996689483436,-0.0010363545269877973,0.30972449173341876,0.8014651108050448,0.8228495739875821,0.8113314063538986,0.8102261969398082,0.8148023924270963
ELM_elastic_net,PAC,1.0,1.0,5400,100.0,0.0,1821.9776326078984,0.38308307384997065,-0.017380724900836274,0.2779363626465465,0.8258285963198284,0.738397587867258,0.7599207350368927,0.7833485710542631,0.7605556313194713
ELM_elastic_net,PAC,1.0,1.0,5400,100.0,1.0,1822.2333910072784,0.38313684877675563,-0.009368319071325994,0.27339238595103266,0.8257796945933055,0.7263255387141956,0.7600274081965245,0.7873031150079213,0.7578853539728806
ELM_elastic_net,PAC,1.0,1.0,5400,100.0,2.0,1833.3082011335114,0.38546540222852854,-0.012262763313105858,0.2793171053601363,0.8236555758632221,0.7420658271702115,0.7646465526365551,0.7880735768469358,0.7649286522179009
ELM_elastic_net,PAC,1.0,1.0,5400,100.0,3.0,1845.5684809417896,0.388043208668717,-0.00550155639056547,0.2806234731454902,0.8212890765544294,0.7455364735166902,0.7697601394758892,0.792329449065009,0.7692086873525295
ELM_elastic_net,PAC,1.0,1.0,5400,100.0,4.0,1805.4892018389023,0.37961627018075744,-0.009395158831291498,0.2733186255370677,0.8289667452123576,0.7261295783467461,0.7530436470829392,0.7793104922348155,0.7528279058881671
ELM_elastic_net,PAC,1.0,1.0,13500,250.0,0.0,1727.9557401743962,0.3633143374406973,-0.00716319533069884,0.2524680324525547,0.8433407661392629,0.6707355036290549,0.7207055524084663,0.7630032421274954,0.7181480993883388
