Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda1_en,lambda2_en,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,humidity,1.0,0.5,0,,,,,3.7837868677295514,0.053313569559785126,1.592535927501605e-05,0.03642095840479439,0.9015074155398762,1.0076169414482417,0.991585003031555,0.9854464652563409,0.9948828032453791
ELM,humidity,1.0,0.5,75000,500.0,100.0,10.0,25.0,4.649391646710509,0.06550994377659584,-0.001474184346224757,0.048513874090183456,0.8512892155955704,1.3421777890974125,1.2184267220274754,1.1270993612726903,1.229234624132526
Persistence_P,humidity,1.0,0.5,0,,,,,3.815897634757936,0.053766010374088465,1.818826467751103e-05,0.03614563918749398,0.8998286252632219,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,0.5,0,,,,,13.16129938064376,0.18544275207766822,0.0004970385516596288,0.14080838917019872,-0.1916473147625406,3.8955844283123646,3.449070347370221,3.069945944814971,3.4715335734991855
BLEND_opti,humidity,1.0,1.0,0,,,,,5.364037260092105,0.07557958726805078,-0.00011933215144711435,0.05412241784841187,0.8020585719575736,0.9916222777871962,0.9764996206381461,0.970280343015806,0.9794674138137162
ELM,humidity,1.0,1.0,75000,500.0,100.0,10.0,25.0,5.81016783089017,0.08186559215087269,-0.0019621829539040636,0.061020082372682534,0.7677634975520483,1.1180001832630124,1.0577157479720396,1.0143582182522886,1.0633580498291135
Persistence_P,humidity,1.0,1.0,0,,,,,5.493127848412974,0.07739848093198361,3.734312943482154e-05,0.054579671171956695,0.7924166380608909,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,1.0,0,,,,,13.16141529912129,0.18544508323454778,0.0004960841149994773,0.1408106342415761,-0.1916763315310559,2.579909904512677,2.3959783318940535,2.2320068466635283,2.402631694356753
BLEND_opti,humidity,1.0,3.0,0,,,,,8.28064492698769,0.11667713178447235,-0.0015972533698922755,0.08841514576292553,0.5282770811397639,0.9207486893242653,0.9135050712859683,0.9150327689282333,0.916428843179489
ELM,humidity,1.0,3.0,75000,500.0,100.0,10.0,25.0,8.110835526565642,0.11428445899557968,-0.0006618890983060194,0.08716171712886202,0.5474257487575627,0.9076955776428116,0.8947720197174837,0.8905082059555096,0.8976586011052682
Persistence_P,humidity,1.0,3.0,0,,,,,9.064695081912113,0.12772466782283154,0.00010882480167862192,0.09602527463581093,0.4347181364566257,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,3.0,0,,,,,13.162061374587818,0.1854579665109192,0.0004884773619041608,0.14082191885210554,-0.1918084909695532,1.466508889312653,1.452013692203688,1.4380503881637854,1.4521909898933754
BLEND_opti,humidity,1.0,6.0,0,,,,,10.224555182838214,0.1440710544861285,-0.0019254234928671786,0.11141880675050989,0.28083806509559106,0.8450000594620646,0.8562857975925376,0.8713676313057743,0.8575511627867923
ELM,humidity,1.0,6.0,75000,500.0,100.0,10.0,25.0,9.450767575871796,0.13316785190269795,-0.00017085010347715198,0.10187001248243807,0.38557056763168285,0.7725820183823455,0.791482651993539,0.808856126256967,0.7909735988776171
Persistence_P,humidity,1.0,6.0,0,,,,,11.940587139930066,0.1682511316796177,0.00012011718915135056,0.13185656675745114,0.01918023145977088,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,6.0,0,,,,,13.162629383118443,0.1854705521291507,0.0004662994175632152,0.1408272625801472,-0.19185425728785765,1.0680337433568823,1.1023435639192138,1.1277893533879997,1.099388886888032
BLEND_opti,humidity,1.0,10.0,0,,,,,11.392264263123979,0.1605311041218491,-0.0009733149888621241,0.1245977723476271,0.1071905422617897,0.7772869053750978,0.808596785465452,0.835430432401542,0.807104707747364
ELM,humidity,1.0,10.0,75000,500.0,100.0,10.0,25.0,10.021656854341852,0.14121754927730532,-0.0001479679623378247,0.10897846249886282,0.3090959516357985,0.6798478838926886,0.7113142155321197,0.73612596170563,0.7090960203768129
Persistence_P,humidity,1.0,10.0,0,,,,,14.088930933068523,0.19853047527197712,0.00010374821180603722,0.16029830360708258,-0.36550961101444024,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,10.0,0,,,,,13.163389462449487,0.18548845037180237,0.00043678940340141214,0.14083527896397474,-0.19199420131980283,0.878582466531805,0.9343071894513535,0.9752142622022166,0.9293679727284584
