timestamp	T_barani	T_regress	U_barani	U_regress	P_barani	P_regress
2024-12-31T18:00:00Z	11.2	11.096	84.8	84.927	1030.95	1030.909
2024-12-31T18:10:00Z	11.3	11.137	85.0	84.902	1031.05	1031.006
2024-12-31T18:20:00Z	11.4	11.24	85.0	85.166	1031.1	1031.108
2024-12-31T18:30:00Z	11.7	11.336	84.8	85.05	1031.2	1031.15
2024-12-31T18:40:00Z	11.9	11.718	84.2	84.802	1031.25	1031.269
2024-12-31T18:50:00Z	12.0	11.85	83.2	84.074	1031.35	1031.293
2024-12-31T19:00:00Z	12.2	11.939	82.4	83.029	1031.45	1031.414
2024-12-31T19:10:00Z	12.2	12.168	82.2	82.362	1031.45	1031.511
2024-12-31T19:20:00Z	12.3	12.093	81.8	82.393	1031.45	1031.484
2024-12-31T19:30:00Z	12.3	12.263	81.4	81.859	1031.4	1031.48
2024-12-31T19:40:00Z	12.3	12.206	81.2	81.534	1031.45	1031.401
2024-12-31T19:50:00Z	12.3	12.209	81.2	81.428	1031.45	1031.48
2024-12-31T20:00:00Z	12.3	12.218	81.2	81.512	1031.45	1031.454
2024-12-31T20:10:00Z	12.3	12.23	81.2	81.451	1031.5	1031.46
2024-12-31T20:20:00Z	12.3	12.226	81.0	81.429	1031.5	1031.52
2024-12-31T20:30:00Z	12.4	12.227	80.8	81.151	1031.55	1031.499
2024-12-31T20:40:00Z	12.3	12.364	81.0	80.97	1031.55	1031.567
2024-12-31T20:50:00Z	12.3	12.167	81.6	81.295	1031.55	1031.547
2024-12-31T21:00:00Z	12.3	12.229	81.6	81.987	1031.55	1031.546
2024-12-31T21:10:00Z	12.2	12.204	81.4	81.754	1031.55	1031.552
2024-12-31T21:20:00Z	12.1	12.071	81.6	81.557	1031.55	1031.544
2024-12-31T21:30:00Z	12.0	11.977	81.8	81.905	1031.6	1031.541
2024-12-31T21:40:00Z	11.8	11.88	82.6	82.1	1031.65	1031.614
2024-12-31T21:50:00Z	11.7	11.659	83.2	83.058	1031.7	1031.661
2024-12-31T22:00:00Z	11.7	11.598	83.6	83.555	1031.8	1031.712
2024-12-31T22:10:00Z	11.6	11.636	84.2	83.841	1031.85	1031.834
2024-12-31T22:20:00Z	11.3	11.503	84.6	84.483	1031.95	1031.871
2024-12-31T22:30:00Z	11.1	11.129	84.8	84.741	1031.95	1031.99
2024-12-31T22:40:00Z	10.9	10.987	85.0	84.885	1031.95	1031.952
