timestamp	T_barani	T_regress	U_barani	U_regress	P_barani	P_regress
2024-12-31T19:20:00Z	12.3	10.518	81.8	83.452	1031.45	1030.652
2024-12-31T19:30:00Z	12.3	10.195	81.4	84.031	1031.4	1030.637
2024-12-31T19:40:00Z	12.3	10.075	81.2	84.578	1031.45	1030.757
2024-12-31T19:50:00Z	12.3	9.866	81.2	84.985	1031.45	1030.819
2024-12-31T20:00:00Z	12.3	9.649	81.2	85.397	1031.45	1030.889
2024-12-31T20:10:00Z	12.3	9.484	81.2	85.776	1031.5	1031.212
2024-12-31T20:20:00Z	12.3	9.4	81.0	86.314	1031.5	1031.046
2024-12-31T20:30:00Z	12.4	9.336	80.8	86.476	1031.55	1031.123
2024-12-31T20:40:00Z	12.3	9.295	81.0	86.575	1031.55	1031.145
2024-12-31T20:50:00Z	12.3	9.447	81.6	86.824	1031.55	1031.305
2024-12-31T21:00:00Z	12.3	9.471	81.6	86.806	1031.55	1031.402
2024-12-31T21:10:00Z	12.2	9.519	81.4	86.987	1031.55	1031.512
2024-12-31T21:20:00Z	12.1	9.582	81.6	87.022	1031.55	1031.485
2024-12-31T21:30:00Z	12.0	9.877	81.8	86.994	1031.6	1031.602
2024-12-31T21:40:00Z	11.8	9.971	82.6	86.684	1031.65	1031.547
2024-12-31T21:50:00Z	11.7	10.102	83.2	86.17	1031.7	1031.681
2024-12-31T22:00:00Z	11.7	10.335	83.6	85.831	1031.8	1031.758
2024-12-31T22:10:00Z	11.6	10.283	84.2	85.824	1031.85	1031.592
2024-12-31T22:20:00Z	11.3	10.515	84.6	85.48	1031.95	1031.496
2024-12-31T22:30:00Z	11.1	10.512	84.8	85.141	1031.95	1031.277
2024-12-31T22:40:00Z	10.9	10.556	85.0	84.945	1031.95	1031.376
2024-12-31T22:50:00Z	10.9	10.575	85.6	84.845	1031.95	1031.275
2024-12-31T23:00:00Z	10.8	10.629	85.8	84.71	1031.95	1031.238
2024-12-31T23:10:00Z	10.8	10.597	86.2	84.616	1031.95	1031.303
2024-12-31T23:20:00Z	10.6	10.598	86.2	84.379	1031.95	1031.213
2024-12-31T23:30:00Z	10.6	10.714	85.8	84.208	1031.9	1031.302
2024-12-31T23:40:00Z	10.6	10.564	85.0	84.303	1031.9	1031.216
2024-12-31T23:50:00Z	10.5	10.638	84.2	84.603	1031.9	1031.174
2025-01-01T00:00:00Z	10.6	10.66	82.6	84.339	1031.85	1031.13
2025-01-01T00:10:00Z	10.6	10.559	82.0	84.068	1031.85	1031.069
2025-01-01T00:20:00Z	10.6	10.558	82.4	84.143	1031.75	1031.037
2025-01-01T00:30:00Z	10.7	10.505	81.6	84.0	1031.7	1031.134
2025-01-01T00:40:00Z	10.7	10.335	81.2	84.386	1031.65	1031.178
2025-01-01T00:50:00Z	10.6	10.328	81.4	84.542	1031.55	1031.232
2025-01-01T01:00:00Z	10.7	10.358	82.0	84.624	1031.55	1031.41
2025-01-01T01:10:00Z	10.7	10.26	81.0	84.967	1031.6	1031.411
2025-01-01T01:20:00Z	10.6	9.979	80.4	85.079	1031.6	1031.576
2025-01-01T01:30:00Z	10.5	9.884	81.0	85.111	1031.55	1031.445
2025-01-01T01:40:00Z	10.3	9.764	81.2	85.181	1031.6	1031.412
2025-01-01T01:50:00Z	10.2	9.864	81.2	85.506	1031.6	1031.371
2025-01-01T02:00:00Z	10.1	9.796	81.8	85.403	1031.6	1031.357
2025-01-01T02:10:00Z	10.0	9.859	82.8	85.545	1031.55	1031.353
2025-01-01T02:20:00Z	9.9	9.672	83.2	85.305	1031.61	1031.365
2025-01-01T02:30:00Z	9.9	9.738	82.4	84.906	1031.56	1031.254
2025-01-01T02:40:00Z	10.0	9.753	81.0	84.337	1031.5	1031.329
2025-01-01T02:50:00Z	10.0	9.655	80.4	83.802	1031.4	1031.364
2025-01-01T03:00:00Z	9.9	9.81	81.0	82.632	1031.35	1031.285
2025-01-01T03:10:00Z	9.7	9.734	81.8	82.372	1031.26	1031.344
2025-01-01T03:20:00Z	9.6	9.793	82.4	82.611	1031.21	1031.103
2025-01-01T03:30:00Z	9.4	9.983	82.6	81.673	1031.21	1031.088
2025-01-01T03:40:00Z	9.3	9.974	83.2	81.377	1031.21	1031.018
2025-01-01T03:50:00Z	9.2	9.874	83.8	81.275	1031.21	1030.843
2025-01-01T04:00:00Z	9.2	10.026	83.8	81.436	1031.16	1030.983
2025-01-01T04:10:00Z	9.0	10.03	84.4	80.292	1031.16	1031.147
2025-01-01T04:20:00Z	8.9	9.958	85.0	79.923	1031.11	1031.167
2025-01-01T04:30:00Z	8.7	9.915	85.4	80.326	1031.11	1031.086
2025-01-01T04:40:00Z	8.6	9.699	85.8	80.106	1031.06	1031.295
2025-01-01T04:50:00Z	8.5	9.666	86.4	80.003	1031.06	1031.306
2025-01-01T05:00:00Z	8.5	9.644	86.2	80.294	1031.06	1031.361
2025-01-01T05:10:00Z	8.5	9.634	86.2	80.652	1031.06	1031.3
2025-01-01T05:20:00Z	8.5	9.626	86.0	80.531	1031.11	1031.567
2025-01-01T05:30:00Z	8.5	9.742	85.8	79.743	1031.11	1031.454
2025-01-01T05:40:00Z	8.4	9.886	85.4	78.736	1031.16	1031.44
2025-01-01T05:50:00Z	8.5	9.932	85.0	78.497	1031.21	1031.321
2025-01-01T06:00:00Z	8.4	9.913	83.8	78.974	1031.21	1031.376
2025-01-01T06:10:00Z	8.3	9.817	83.4	79.277	1031.16	1031.289
2025-01-01T06:20:00Z	8.4	9.876	84.6	79.426	1031.21	1031.334
2025-01-01T06:30:00Z	8.4	9.753	83.2	79.317	1031.26	1031.491
2025-01-01T06:40:00Z	8.4	9.777	80.6	79.69	1031.31	1031.59
2025-01-01T06:50:00Z	8.4	9.799	82.2	79.858	1031.26	1031.663
2025-01-01T07:00:00Z	8.4	10.022	84.4	79.573	1031.31	1031.605
2025-01-01T07:10:00Z	8.4	9.991	85.8	79.792	1031.36	1031.685
2025-01-01T07:20:00Z	8.3	10.115	87.0	79.802	1031.31	1031.589
2025-01-01T07:30:00Z	8.4	10.052	87.8	79.708	1031.31	1031.681
2025-01-01T07:40:00Z	8.5	10.194	88.2	79.665	1031.36	1031.565
2025-01-01T07:50:00Z	8.9	10.304	86.2	79.706	1031.31	1031.628
2025-01-01T08:00:00Z	9.2	10.529	83.6	79.276	1031.36	1031.637
2025-01-01T08:10:00Z	9.6	10.685	82.2	79.172	1031.46	1031.642
2025-01-01T08:20:00Z	10.2	10.868	79.0	78.781	1031.45	1031.77
2025-01-01T08:30:00Z	10.7	11.069	74.6	78.426	1031.55	1031.713
2025-01-01T08:40:00Z	11.1	11.072	71.2	77.863	1031.6	1031.82
2025-01-01T08:50:00Z	11.4	11.441	70.0	77.427	1031.65	1031.858
2025-01-01T09:00:00Z	11.8	11.464	69.4	76.325	1031.7	1031.753
2025-01-01T09:10:00Z	12.3	11.574	68.4	76.037	1031.7	1031.569
2025-01-01T09:20:00Z	12.7	11.838	67.4	76.807	1031.74	1031.667
2025-01-01T09:30:00Z	13.1	11.967	66.4	75.222	1031.84	1031.684
2025-01-01T09:40:00Z	13.7	12.096	65.4	73.597	1031.79	1031.699
2025-01-01T09:50:00Z	14.1	12.198	64.6	75.378	1031.74	1031.439
2025-01-01T10:00:00Z	14.4	12.26	64.8	76.456	1031.69	1031.516
2025-01-01T10:10:00Z	14.4	12.295	65.6	77.206	1031.59	1031.497
2025-01-01T10:20:00Z	14.1	12.287	66.2	77.934	1031.49	1031.227
2025-01-01T10:30:00Z	14.2	12.441	68.4	78.434	1031.39	1031.16
2025-01-01T10:40:00Z	14.4	12.522	65.8	78.786	1031.29	1031.173
2025-01-01T10:50:00Z	14.6	12.871	65.0	77.311	1031.14	1030.913
2025-01-01T11:00:00Z	14.4	12.945	66.8	76.096	1030.99	1030.963
2025-01-01T11:10:00Z	13.9	13.184	67.2	75.805	1030.89	1031.059
2025-01-01T11:20:00Z	13.5	13.519	67.6	74.061	1030.74	1030.876
2025-01-01T11:30:00Z	13.5	13.705	69.0	71.937	1030.64	1031.034
2025-01-01T11:40:00Z	13.6	13.909	69.6	70.582	1030.49	1030.973
2025-01-01T11:50:00Z	13.8	13.945	70.0	70.513	1030.34	1030.971
2025-01-01T12:00:00Z	14.0	14.177	70.2	70.329	1030.09	1030.96
2025-01-01T12:10:00Z	14.0	14.441	69.8	69.818	1029.94	1030.832
2025-01-01T12:20:00Z	14.1	14.511	69.6	69.204	1029.79	1030.863
2025-01-01T12:30:00Z	14.2	14.679	69.6	68.63	1029.69	1031.012
2025-01-01T12:40:00Z	14.2	15.088	69.6	68.04	1029.49	1030.776
2025-01-01T12:50:00Z	14.3	15.107	70.4	67.546	1029.44	1030.662
2025-01-01T13:00:00Z	14.3	15.218	70.6	67.879	1029.34	1030.533
2025-01-01T13:10:00Z	14.3	15.101	70.6	68.204	1029.24	1030.332
2025-01-01T13:20:00Z	14.4	14.641	71.0	68.477	1029.19	1030.18
2025-01-01T13:30:00Z	14.4	14.705	71.4	70.063	1029.09	1030.057
2025-01-01T13:40:00Z	14.6	14.739	71.8	67.447	1029.04	1029.936
2025-01-01T13:50:00Z	14.8	14.893	71.2	67.694	1028.98	1029.703
2025-01-01T14:00:00Z	14.8	14.653	71.4	68.944	1028.98	1029.527
2025-01-01T14:10:00Z	15.0	14.218	71.8	68.692	1028.93	1029.479
2025-01-01T14:20:00Z	15.1	13.924	70.8	69.087	1028.93	1029.277
2025-01-01T14:30:00Z	15.0	13.944	70.6	70.075	1028.88	1029.269
2025-01-01T14:40:00Z	14.6	13.897	72.2	70.474	1028.84	1029.079
2025-01-01T14:50:00Z	14.3	13.937	74.0	70.933	1028.84	1028.942
2025-01-01T15:00:00Z	14.1	13.929	74.2	71.199	1028.79	1028.558
2025-01-01T15:10:00Z	14.0	13.759	74.6	71.058	1028.79	1028.493
2025-01-01T15:20:00Z	14.0	13.684	74.0	71.437	1028.79	1028.378
2025-01-01T15:30:00Z	13.8	13.559	72.0	71.798	1028.74	1028.388
2025-01-01T15:40:00Z	13.6	13.368	72.0	72.011	1028.69	1028.111
2025-01-01T15:50:00Z	13.1	13.325	71.8	72.913	1028.74	1028.3
2025-01-01T16:00:00Z	12.7	13.133	70.8	73.154	1028.74	1028.227
2025-01-01T16:10:00Z	12.3	12.927	71.6	73.508	1028.79	1028.199
2025-01-01T16:20:00Z	12.0	12.88	72.4	74.096	1028.79	1028.282
2025-01-01T16:30:00Z	11.7	12.647	73.2	74.616	1028.8	1028.193
2025-01-01T16:40:00Z	11.5	12.717	73.6	75.269	1028.8	1028.265
2025-01-01T16:50:00Z	11.3	12.665	73.8	75.105	1028.85	1028.262
2025-01-01T17:00:00Z	11.2	12.47	74.2	75.811	1028.85	1028.399
2025-01-01T17:10:00Z	11.1	12.622	74.6	76.266	1028.85	1028.364
2025-01-01T17:20:00Z	10.9	12.616	75.2	75.595	1028.9	1028.492
2025-01-01T17:30:00Z	11.0	12.539	76.6	75.937	1028.95	1028.442
2025-01-01T17:40:00Z	11.1	12.147	77.4	77.213	1029.0	1028.445
2025-01-01T17:50:00Z	11.1	11.987	78.6	78.236	1029.1	1028.526
2025-01-01T18:00:00Z	11.2	11.925	79.0	78.018	1029.1	1028.463
2025-01-01T18:10:00Z	10.8	11.934	79.4	78.457	1029.15	1028.554
2025-01-01T18:20:00Z	10.5	11.988	80.8	77.925	1029.15	1028.598
2025-01-01T18:30:00Z	10.4	11.86	82.0	76.678	1029.15	1028.515
2025-01-01T18:40:00Z	10.2	11.798	82.8	77.285	1029.2	1028.461
2025-01-01T18:50:00Z	10.2	11.441	83.8	76.948	1029.25	1028.652
2025-01-01T19:00:00Z	10.2	11.366	84.2	76.194	1029.3	1028.642
2025-01-01T19:10:00Z	10.2	11.21	84.6	76.982	1029.35	1028.799
2025-01-01T19:20:00Z	10.0	11.175	84.4	77.202	1029.35	1028.779
2025-01-01T19:30:00Z	10.0	11.028	84.0	77.644	1029.35	1028.81
