Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,pressure,1.0,0.5,0,,,,,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
ELM,pressure,1.0,0.5,75000,500.0,100.0,25.0,1.25,0.4735262461502378,0.0004666201567347566,1.1244568464824578e-05,0.0003522232601911683,0.9923967329739227,2.2032466879765216,2.20284946144956,2.147605662440901,2.1845672706223276
Persistence_P,pressure,1.0,0.5,0,,,,,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,0.5,0,,,,,3.7776112079201916,0.003722517069018874,4.808692363760248e-05,0.0029117903454902085,0.5161099986528984,18.213994247005083,17.573490134045525,16.51536779833564,17.434284059795413
BLEND_opti,pressure,1.0,1.0,0,,,,,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
ELM,pressure,1.0,1.0,75000,500.0,100.0,25.0,1.25,0.5031815624543776,0.0004958431196390467,-2.3200930827884367e-05,0.00037226507879927357,0.9914132791358473,1.3005333111482955,1.3348614126654057,1.3696360385406408,1.335010254118114
Persistence_P,pressure,1.0,1.0,0,,,,,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,1.0,0,,,,,3.7776394522997516,0.003722546036391546,4.812068729462449e-05,0.0029118138392494565,0.5160294701282189,10.172619215374857,10.021482327851828,9.757539325458984,9.98388028956189
BLEND_opti,pressure,1.0,3.0,0,,,,,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
ELM,pressure,1.0,3.0,75000,500.0,100.0,25.0,1.25,0.8509575488425836,0.000838548669119308,1.0088936052816617e-05,0.0006348377030178297,0.9754188336311729,0.8954405665539251,0.9304107002920771,0.9679940812763317,0.9312817827074445
Persistence_P,pressure,1.0,3.0,0,,,,,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,3.0,0,,,,,3.7778001096508818,0.003722711266214454,4.8341123968075114e-05,0.0029119370769195795,0.515532503085995,4.1072963586301325,4.130529954595862,4.1281709349094,4.121999082711798
BLEND_opti,pressure,1.0,6.0,0,,,,,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
ELM,pressure,1.0,6.0,75000,500.0,100.0,25.0,1.25,1.292042842746519,0.0012732055319354982,-1.473080961845549e-05,0.0009561490185116888,0.9432494993362133,0.8408715367907643,0.8758079706015964,0.9109429723260904,0.8758741599061505
Persistence_P,pressure,1.0,6.0,0,,,,,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,6.0,0,,,,,3.778056499104694,0.003722974405709131,4.864006567237074e-05,0.0029121538853015276,0.5147642785881035,2.5610519547636343,2.5609460350907307,2.5485295171341367,2.5568425023295007
BLEND_opti,pressure,1.0,10.0,0,,,,,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
ELM,pressure,1.0,10.0,75000,500.0,100.0,25.0,1.25,1.8677896574565545,0.0018405652758394404,-4.614444013993311e-05,0.0013780007579474423,0.8811660477803105,0.9165966694568848,0.9424713946176352,0.970921652951035,0.943329905675185
Persistence_P,pressure,1.0,10.0,0,,,,,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,10.0,0,,,,,3.7784175984172754,0.0037233444362988993,4.899545657094646e-05,0.002912486602945046,0.51369972015767,1.9372816050359853,1.9065586369491805,1.8719170059145778,1.9052524159665811
