Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,pressure,1.0,0.5,0,,,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
ELM,pressure,1.0,0.5,75000,500.0,100.0,0.5123378127900765,0.0005048656805168894,-4.675205780980467e-06,0.0003801063184107612,0.991099283843145,2.3776623572870377,2.3834013091362807,2.3436373966294344,2.368233687684251
Persistence_P,pressure,1.0,0.5,0,,,0.2149607834929579,0.00021182571251496347,9.784175368022356e-07,0.0001598655575489156,0.9984331385177817,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,0.5,0,,,3.7776112079201916,0.003722517069018874,4.808692363760248e-05,0.0029117903454902085,0.5161099986528984,18.213994247005083,17.573490134045525,16.51536779833564,17.434284059795413
BLEND_opti,pressure,1.0,1.0,0,,,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
ELM,pressure,1.0,1.0,75000,500.0,100.0,0.5524308744929022,0.0005443741755110968,-3.231149445028799e-05,0.0004099458026240179,0.9896501562894319,1.4321734764851115,1.465512078639489,1.492563309028111,1.4634162880509038
Persistence_P,pressure,1.0,1.0,0,,,0.37695415994507014,0.0003714566283318986,1.9315442751799727e-06,0.0002862403258787621,0.9951810215155485,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,1.0,0,,,3.7776394522997516,0.003722546036391546,4.812068729462449e-05,0.0029118138392494565,0.5160294701282189,10.172619215374857,10.021482327851828,9.757539325458984,9.98388028956189
BLEND_opti,pressure,1.0,3.0,0,,,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
ELM,pressure,1.0,3.0,75000,500.0,100.0,0.9033911491639011,0.0008902176693254605,-2.4385518992629547e-05,0.000675226429584549,0.972296262833638,0.9524089917551597,0.9877399793614569,1.0273389450953194,0.9891626387373119
Persistence_P,pressure,1.0,3.0,0,,,0.9146042157247855,0.0009012672240936916,5.708990574395676e-06,0.0007089668781268003,0.971604266382176,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,3.0,0,,,3.7778001096508818,0.003722711266214454,4.8341123968075114e-05,0.0029119370769195795,0.515532503085995,4.1072963586301325,4.130529954595862,4.1281709349094,4.121999082711798
BLEND_opti,pressure,1.0,6.0,0,,,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
ELM,pressure,1.0,6.0,75000,500.0,100.0,1.386726675524098,0.0013665089238114284,6.381129211127133e-06,0.0010336197929295,0.9346271215726925,0.9090020979060964,0.9399891669909031,0.9686472080395568,0.9392128243121854
Persistence_P,pressure,1.0,6.0,0,,,1.4752581457542673,0.001453749651377262,1.159844852132817e-05,0.0011370928574427526,0.9260135975215906,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,6.0,0,,,3.778056499104694,0.003722974405709131,4.864006567237074e-05,0.0029121538853015276,0.5147642785881035,2.5610519547636343,2.5609460350907307,2.5485295171341367,2.5568425023295007
BLEND_opti,pressure,1.0,10.0,0,,,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
ELM,pressure,1.0,10.0,75000,500.0,100.0,1.9681511285421123,0.001939463906086588,-3.3866715960478374e-05,0.0014512855438514093,0.868052399787184,0.965343080004214,0.9931129726145319,1.0208510503392554,0.993102367652667
Persistence_P,pressure,1.0,10.0,0,,,1.9817998383010076,0.0019529136760550341,1.978807789464515e-05,0.0015033883537499165,0.8662159971328166,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,10.0,0,,,3.7784175984172754,0.0037233444362988993,4.899545657094646e-05,0.002912486602945046,0.51369972015767,1.9372816050359853,1.9065586369491805,1.8719170059145778,1.9052524159665811
