Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_l3,delta_l3,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,humidity,1.0,0.5,0,,,,,3.3510608747820956,0.04709991444159618,-3.784219165311551e-07,0.031066507702391423,0.9336328608393076,1.0097285172454478,0.9951663241449866,0.9906185706896907,0.998504470693375
ELM,humidity,1.0,0.5,75000,500.0,100.0,10.0,6.886240305944451,4.607656935134417,0.06476165475065272,-0.0062295351524952565,0.047791008041963075,0.8745274469446551,1.5533108565067975,1.3683383222207326,1.227856172558816,1.383168450428782
Persistence_P,humidity,1.0,0.5,0,,,,,3.3673374927163198,0.04732868596821023,2.1568666591013122e-05,0.03076718857771914,0.9329865843102869,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,0.5,0,,,,,14.334232865330067,0.20147086751650362,0.0004479110852711426,0.15157849655591296,-0.21433181566150727,4.926628124406611,4.2568447315826115,3.695749833090745,4.293074229693322
BLEND_opti,humidity,1.0,1.0,0,,,,,4.982129465366975,0.07002525495464847,-0.0001779621781500307,0.048813952348320803,0.8533023625043579,1.0036052458410523,0.983315752490882,0.9761514339828191,0.9876908107715844
ELM,humidity,1.0,1.0,75000,500.0,100.0,10.0,6.886355843309106,5.84590678466796,0.08216589229226913,-0.0072352114066020065,0.06126859605775273,0.7980253453965324,1.2596702674290272,1.1537982440875636,1.0722529411511106,1.1619071508892338
Persistence_P,humidity,1.0,1.0,0,,,,,5.066662923630091,0.07121339689439969,4.12115685059007e-05,0.04863859824428598,0.8482819938194575,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,1.0,0,,,,,14.334368898960733,0.20147365574125506,0.0004481356474961359,0.15158182772470724,-0.21436783602089293,3.116492522325414,2.8291538464316566,2.575410469381765,2.840352279379612
BLEND_opti,humidity,1.0,3.0,0,,,,,8.341173741388998,0.11724051125151111,-0.002237972317981962,0.08832534195073594,0.5887851263611421,0.9442472043375593,0.9274226779215788,0.9259526789012709,0.9325408537201363
ELM,humidity,1.0,3.0,75000,500.0,100.0,10.0,6.886873870956493,8.504085313025765,0.11953033718484568,-0.009827941640752015,0.09180940761323048,0.5725653781717508,0.9814938109046063,0.9455361821736344,0.9241833554407737,0.9504044495063381
Persistence_P,humidity,1.0,3.0,0,,,,,8.993929024985857,0.12641540264494672,0.00010984144674421185,0.09354048552645804,0.521905891421987,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,3.0,0,,,,,14.335178115720854,0.20149006162395527,0.0004463780559054174,0.15160089818778794,-0.21456473413400756,1.620698217831117,1.5938727196864217,1.559616088183495,1.591395675233678
BLEND_opti,humidity,1.0,6.0,0,,,,,10.69865999872372,0.15038198507022638,-0.0053339538164279875,0.11720757031896498,0.32344928045487575,0.8561609079859612,0.8609078238848465,0.874807064411095,0.8639585987606342
ELM,humidity,1.0,6.0,75000,500.0,100.0,10.0,6.887229987685168,10.30376263925626,0.14483124798513425,-0.013684754522437368,0.11281596089449228,0.372471752984201,0.8240817146186377,0.8291309259894504,0.8362894223084374,0.8298340209721751
Persistence_P,humidity,1.0,6.0,0,,,,,12.427184074650427,0.1746783812367132,0.00013197635476393818,0.13689899787025417,0.08717599818237876,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,6.0,0,,,,,14.33634126934532,0.20151378387438673,0.0004385469684962195,0.15162450774049935,-0.21483766835480966,1.107564774756067,1.1536274978487915,1.1839150706012869,1.1483691144020485
BLEND_opti,humidity,1.0,10.0,0,,,,,12.22530730905746,0.1718474558450328,-0.0046478593571262035,0.13381571351082686,0.11661661741681939,0.7807161081173151,0.8088247686285459,0.8343123035630745,0.8079510601029786
ELM,humidity,1.0,10.0,75000,500.0,100.0,10.0,6.887711365325009,11.382807017541298,0.16000468347247368,-0.013977583476188785,0.1254101564323555,0.23417700662057794,0.7316758748241513,0.7530850570508923,0.7706400221524999,0.7518003180091811
Persistence_P,humidity,1.0,10.0,0,,,,,15.114902242406417,0.2124656198850335,0.0001468462299616752,0.17140124575310917,-0.3503313204538383,1.0,1.0,1.0,1.0
Persistence_Pcyclic,humidity,1.0,10.0,0,,,,,14.337552566512645,0.2015386500570166,0.0004156894325045114,0.151642093108682,-0.21500957969105916,0.8847199006191078,0.9485706448227739,0.9955779134608804,0.9429561529675873
