Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,humidity,1.0,1.0,149,,,4.74870806840171,0.0667444504416411,0.0003635721439326,0.0464518481362868,0.8667264256836533,0.9550408484838268,0.9372457058973688,0.938281196348648,0.9435225835766144
ELM_corr,humidity,1.0,1.0,750,5.0,0.0,9.135802503222877,0.1284063178106062,-0.0062880326805454,0.1006066183830183,0.5067279512070406,2.0684522583838545,1.8031202471778776,1.5997849742198398,1.8237858265938571
ELM_corr,humidity,1.0,1.0,750,5.0,1.0,8.788596586913156,0.123526239326022,-0.005887778795935,0.0964632008502866,0.5435090605580787,1.983264410002174,1.7345927130704857,1.549262765510769,1.7557066295278094
ELM_corr,humidity,1.0,1.0,750,5.0,2.0,9.568363928426592,0.1344860923917361,-0.0107125456269947,0.104539774571205,0.4589112900654257,2.1493171749349558,1.8884942757492909,1.6845075748852631,1.9074396751898364
ELM_corr,humidity,1.0,1.0,750,5.0,3.0,9.84275336735605,0.1383427144549452,-0.007706454462455,0.1083696339702301,0.4274330076438024,2.228058329846323,1.9426501260723408,1.7217231320018949,1.964143862640186
ELM_corr,humidity,1.0,1.0,750,5.0,4.0,9.532884948612375,0.1339874251803977,0.0023523789048198,0.1032366762240482,0.4629165064906028,2.1225257295768465,1.8814918403497007,1.6865676507686906,1.8968617402317465
ELM_corr,humidity,1.0,1.0,1500,10.0,0.0,7.748214896688229,0.1089033770309768,-0.0062806331023743,0.0835944520543764,0.6451895382662505,1.7186854693987208,1.5292540698833186,1.3868845814698518,1.5449413735839637
ELM_corr,humidity,1.0,1.0,1500,10.0,1.0,8.21541400125893,0.1154699941049747,-0.0075147086688023,0.0889993065250768,0.6011110463815514,1.829808212771271,1.621464487590753,1.4607555344689376,1.6373427449436535
ELM_corr,humidity,1.0,1.0,1500,10.0,2.0,8.711839273791924,0.1224473933308884,-0.0065416520601124,0.0950208379910619,0.55144798614265,1.9536097137056152,1.719443232183717,1.5363575465720485,1.7364701641537936
ELM_corr,humidity,1.0,1.0,1500,10.0,3.0,8.774613206193468,0.1233296989095533,-0.0061980218462059,0.096137282134243,0.544960534265166,1.9765635853935652,1.7318328332579815,1.5460789678935365,1.7514917955150278
ELM_corr,humidity,1.0,1.0,1500,10.0,4.0,8.717893001798389,0.1225324802099079,-0.007236442702103,0.0940216949930069,0.5508243852581486,1.9330675304577167,1.7206380478045138,1.5487472350509688,1.7341509377710669
ELM_corr,humidity,1.0,1.0,3750,25.0,0.0,7.403854317637468,0.1040632905755792,-0.0071261138503792,0.0798525812158927,0.6760269895846878,1.6417533419617776,1.4612881159129607,1.3239911744261996,1.4756775441003125
ELM_corr,humidity,1.0,1.0,3750,25.0,1.0,7.465805448967652,0.104934031449794,-0.0071566545602815,0.0800005572442079,0.6705826729510711,1.644795699958445,1.47351532191896,1.338801733329527,1.485704251735644
ELM_corr,humidity,1.0,1.0,3750,25.0,2.0,7.245133394875325,0.1018324225982779,-0.0072691601173245,0.0776677448683635,0.6897685134476954,1.5968335369839306,1.4299615948566864,1.298597456790744,1.441797529543787
ELM_corr,humidity,1.0,1.0,3750,25.0,3.0,7.581980043334984,0.1065668986095851,-0.0047560561393146,0.0817591981388291,0.660250852306599,1.6809530103683483,1.496444535114792,1.3534460926381773,1.510281212707106
ELM_corr,humidity,1.0,1.0,3750,25.0,4.0,7.565798084882348,0.1063394565540969,-0.0070608821523035,0.0811534112376871,0.6616995344902573,1.668498150997206,1.493250725166006,1.3601751043560404,1.5073079935064173
ELM_corr,humidity,1.0,1.0,7500,50.0,0.0,6.903366604175746,0.0970287925802035,-0.0066186034091528,0.0739633810980089,0.7183466140902062,1.5206725474802945,1.3625075731759395,1.2438570267422602,1.3756790491328317
ELM_corr,humidity,1.0,1.0,7500,50.0,1.0,6.717145976268633,0.0944114083798012,-0.007387895216351,0.0714940413591392,0.733337052704945,1.469903408812533,1.3257534747261277,1.217560101259775,1.3377389949328116
ELM_corr,humidity,1.0,1.0,7500,50.0,2.0,6.744454088227132,0.0947952317058542,-0.005912142148971,0.0721334070465372,0.7311644442741508,1.4830486414153896,1.3311432376470314,1.2179653541625932,1.3440524110750047
ELM_corr,humidity,1.0,1.0,7500,50.0,3.0,7.142493623439409,0.1003897912469151,-0.0069708399633789,0.0765200656673066,0.6984961760539029,1.5732374786581391,1.4097037302655329,1.2867460720433683,1.4232290936556804
ELM_corr,humidity,1.0,1.0,7500,50.0,4.0,6.903938874305606,0.0970368360005973,-0.0058412564431415,0.0735469033633457,0.7182999155705599,1.5121098472854524,1.362620521311327,1.249166210204444,1.374632192933741
ELM_corr,humidity,1.0,1.0,15000,100.0,0.0,6.208225830990849,0.0872583901428476,-0.005265515083501,0.0654888063994759,0.7722134300781984,1.346436960838391,1.225308635006425,1.1338179309177527,1.2351878422541895
ELM_corr,humidity,1.0,1.0,15000,100.0,1.0,6.47008221427887,0.090938856523481,-0.0056684974661177,0.0682425907164543,0.7525925914114082,1.4030542240076058,1.2769908540991468,1.1833996513432332,1.287814909816662
ELM_corr,humidity,1.0,1.0,15000,100.0,2.0,6.396972724177885,0.0899112817244891,-0.0065104767171865,0.0675386104956688,0.7581522229789786,1.38858052932484,1.2625613388140438,1.1654227586750483,1.2721882089379772
ELM_corr,humidity,1.0,1.0,15000,100.0,3.0,6.408435392105519,0.0900723928015241,-0.0072257916403618,0.0680915449484665,0.7572847174781021,1.399948752767887,1.264823709155314,1.1668083956355133,1.277193619186238
ELM_corr,humidity,1.0,1.0,15000,100.0,4.0,6.35719518957489,0.0893521970958369,-0.0063113751435559,0.0669991892711719,0.761150578277639,1.377490135194078,1.2547105038162234,1.161739484736382,1.2646467079155612
ELM_corr,humidity,1.0,1.0,37500,250.0,0.0,5.965379514293023,0.0838451156866589,-0.0060216934667671,0.0623932574195952,0.7896854791623467,1.2827930835141848,1.1773784055125247,1.0971464377969269,1.1857726422745454
ELM_corr,humidity,1.0,1.0,37500,250.0,1.0,5.981193123508756,0.0840673804882427,-0.0042315422612015,0.0624948889435399,0.7885689567831017,1.2848826076290512,1.1804995149003197,1.1004755155746615,1.188619212701344
ELM_corr,humidity,1.0,1.0,37500,250.0,2.0,6.011103089084808,0.0844877736112451,-0.0053348925502178,0.0628768286394195,0.7864490763692623,1.2927352125491451,1.1864028019408994,1.1052845184709277,1.194807510986991
