Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,humidity,1.0,1.0,149,,,4.74870806840171,0.06674445044164112,0.0003635721439326035,0.04645184813628685,0.8667264256836533,0.9550408484838268,0.9372457058973687,0.938281196348648,0.9435225835766144
ELM_corr,humidity,1.0,1.0,750,5.0,0.0,9.135802503222877,0.12840631781060627,-0.006288032680545493,0.1006066183830183,0.5067279512070406,2.0684522583838545,1.8031202471778776,1.5997849742198398,1.8237858265938574
ELM_corr,humidity,1.0,1.0,750,5.0,1.0,8.788596586913156,0.12352623932602204,-0.0058877787959350225,0.0964632008502866,0.5435090605580787,1.9832644100021741,1.7345927130704855,1.549262765510769,1.7557066295278094
ELM_corr,humidity,1.0,1.0,750,5.0,2.0,9.568363928426592,0.13448609239173615,-0.010712545626994786,0.104539774571205,0.45891129006542575,2.1493171749349553,1.8884942757492909,1.6845075748852631,1.9074396751898364
ELM_corr,humidity,1.0,1.0,750,5.0,3.0,9.84275336735605,0.1383427144549452,-0.007706454462455022,0.1083696339702301,0.42743300764380243,2.228058329846323,1.9426501260723406,1.7217231320018949,1.9641438626401861
ELM_corr,humidity,1.0,1.0,750,5.0,4.0,9.532884948612377,0.13398742518039777,0.0023523789048198354,0.10323667622404822,0.4629165064906028,2.1225257295768465,1.8814918403497012,1.6865676507686906,1.8968617402317463
ELM_corr,humidity,1.0,1.0,1500,10.0,0.0,7.748214896688229,0.1089033770309768,-0.0062806331023743224,0.08359445205437643,0.6451895382662505,1.7186854693987208,1.5292540698833186,1.3868845814698518,1.5449413735839637
ELM_corr,humidity,1.0,1.0,1500,10.0,1.0,8.21541400125893,0.1154699941049747,-0.007514708668802374,0.0889993065250768,0.6011110463815514,1.829808212771271,1.6214644875907527,1.4607555344689376,1.6373427449436537
ELM_corr,humidity,1.0,1.0,1500,10.0,2.0,8.711839273791924,0.12244739333088847,-0.006541652060112456,0.09502083799106197,0.55144798614265,1.9536097137056152,1.719443232183717,1.5363575465720485,1.7364701641537936
ELM_corr,humidity,1.0,1.0,1500,10.0,3.0,8.774613206193468,0.12332969890955336,-0.006198021846205987,0.09613728213424307,0.544960534265166,1.9765635853935655,1.7318328332579815,1.5460789678935363,1.7514917955150278
ELM_corr,humidity,1.0,1.0,1500,10.0,4.0,8.717893001798389,0.12253248020990791,-0.007236442702103065,0.09402169499300696,0.5508243852581486,1.9330675304577172,1.7206380478045138,1.5487472350509688,1.7341509377710667
ELM_corr,humidity,1.0,1.0,3750,25.0,0.0,7.403854317637468,0.10406329057557921,-0.007126113850379259,0.07985258121589275,0.6760269895846878,1.6417533419617776,1.4612881159129607,1.3239911744261996,1.4756775441003125
ELM_corr,humidity,1.0,1.0,3750,25.0,1.0,7.465805448967652,0.10493403144979403,-0.007156654560281533,0.08000055724420795,0.6705826729510711,1.644795699958445,1.47351532191896,1.338801733329527,1.485704251735644
ELM_corr,humidity,1.0,1.0,3750,25.0,2.0,7.245133394875325,0.10183242259827797,-0.007269160117324542,0.07766774486836357,0.6897685134476954,1.5968335369839306,1.4299615948566864,1.298597456790744,1.441797529543787
ELM_corr,humidity,1.0,1.0,3750,25.0,3.0,7.581980043334984,0.10656689860958513,-0.004756056139314654,0.08175919813882919,0.660250852306599,1.6809530103683485,1.4964445351147921,1.3534460926381773,1.510281212707106
ELM_corr,humidity,1.0,1.0,3750,25.0,4.0,7.565798084882348,0.10633945655409693,-0.007060882152303539,0.0811534112376871,0.6616995344902573,1.6684981509972059,1.4932507251660059,1.3601751043560404,1.5073079935064173
ELM_corr,humidity,1.0,1.0,7500,50.0,0.0,6.903366604175746,0.09702879258020353,-0.006618603409152872,0.07396338109800893,0.7183466140902062,1.5206725474802945,1.3625075731759397,1.2438570267422602,1.3756790491328317
ELM_corr,humidity,1.0,1.0,7500,50.0,1.0,6.717145976268633,0.09441140837980122,-0.007387895216351061,0.07149404135913923,0.733337052704945,1.4699034088125327,1.3257534747261277,1.217560101259775,1.3377389949328116
ELM_corr,humidity,1.0,1.0,7500,50.0,2.0,6.744454088227132,0.09479523170585426,-0.005912142148971006,0.07213340704653727,0.7311644442741508,1.4830486414153896,1.3311432376470314,1.2179653541625932,1.3440524110750047
ELM_corr,humidity,1.0,1.0,7500,50.0,3.0,7.142493623439409,0.10038979124691516,-0.006970839963378915,0.07652006566730667,0.6984961760539029,1.5732374786581391,1.4097037302655329,1.2867460720433685,1.4232290936556804
ELM_corr,humidity,1.0,1.0,7500,50.0,4.0,6.903938874305606,0.09703683600059734,-0.005841256443141513,0.07354690336334574,0.7182999155705599,1.5121098472854524,1.362620521311327,1.249166210204444,1.374632192933741
ELM_corr,humidity,1.0,1.0,15000,100.0,0.0,6.208225830990849,0.08725839014284767,-0.005265515083501075,0.06548880639947592,0.7722134300781984,1.346436960838391,1.225308635006425,1.1338179309177527,1.2351878422541895
ELM_corr,humidity,1.0,1.0,15000,100.0,1.0,6.47008221427887,0.090938856523481,-0.005668497466117758,0.06824259071645436,0.7525925914114082,1.4030542240076058,1.2769908540991468,1.1833996513432332,1.287814909816662
ELM_corr,humidity,1.0,1.0,15000,100.0,2.0,6.396972724177885,0.08991128172448914,-0.006510476717186516,0.06753861049566885,0.7581522229789786,1.3885805293248399,1.2625613388140438,1.1654227586750485,1.2721882089379772
