Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_mae,delta_mae,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,pressure,1.0,0.5,0,,,,,0.2456781091575054,0.00024310516594623846,1.4587721447655635e-06,0.00016430039699583395,0.9988812482683769,1.0,1.0,1.0,1.0
ELM,pressure,1.0,0.5,75000,500.0,100.0,10.0,0.3633808094771398,0.7525324011285391,0.0007446512629213871,-0.0002780299522864918,0.0005153026428350095,0.9895033381633814,3.1363444779021177,3.0630828432747625,1.944273355585177,2.714566892254019
Persistence_P,pressure,1.0,0.5,0,,,,,0.2456781091575054,0.00024310516594623846,1.4587721447655635e-06,0.00016430039699583395,0.9988812482683769,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,0.5,0,,,,,3.7738333912953665,0.0037343107043214087,7.144724209583159e-05,0.002923177602962698,0.7360229055454373,17.791664879767872,15.360885852780411,8.818795228783916,13.9904486537774
BLEND_opti,pressure,1.0,1.0,0,,,,,0.39912010199301884,0.0003949403418859261,2.889717406406204e-06,0.00028985779755562406,0.997046987663409,1.0,1.0,1.0,1.0
ELM,pressure,1.0,1.0,75000,500.0,100.0,25.0,0.3634025920495121,0.5673552213165439,0.0005614136295280873,-1.8782435955155382e-05,0.000406127371928583,0.9940328333152862,1.4011262603713348,1.4215150238823795,1.2531743812528948,1.3586052218355364
Persistence_P,pressure,1.0,1.0,0,,,,,0.39912010199301884,0.0003949403418859261,2.889717406406204e-06,0.00028985779755562406,0.997046987663409,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,1.0,0,,,,,3.7738616800227733,0.003734340151487683,7.148141229167849e-05,0.002923201615917765,0.7359841415591841,10.084950760577,9.455453787413553,7.147775729481833,8.896060092490796
BLEND_opti,pressure,1.0,3.0,0,,,,,0.9240574626810502,0.0009143824900449595,8.60496830348535e-06,0.0007135038932143978,0.9841580544897709,1.0,1.0,1.0,1.0
ELM,pressure,1.0,3.0,75000,500.0,100.0,25.0,0.363516078894239,0.8803827542157843,0.0008711650600784405,4.4201208453029414e-05,0.0006466744289786307,0.9856201746667915,0.9063362304377983,0.9527359388034716,1.0028685469531915,0.9539802387314872
Persistence_P,pressure,1.0,3.0,0,,,,,0.9240574626810502,0.0009143824900449595,8.60496830348535e-06,0.0007135038932143978,0.9841580544897709,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,3.0,0,,,,,3.774025851509081,0.0037345114291750963,7.169795708294912e-05,0.0029233342942663687,0.735746773276751,4.097152548245379,4.084189570374946,3.9182561254308106,4.033199414683712
BLEND_opti,pressure,1.0,6.0,0,,,,,1.4808137065577343,0.0014653146789833527,1.7484326718344003e-05,0.0011443052623649455,0.9592665862223648,1.0,1.0,1.0,1.0
ELM,pressure,1.0,6.0,75000,500.0,100.0,25.0,0.36368903062124885,1.3953212777201032,0.0013807170619009664,0.00014648354121310852,0.0010429547538751396,0.9638341737446318,0.9114305318492167,0.9422665873100508,0.9747666810572455,0.9428212667388376
Persistence_P,pressure,1.0,6.0,0,,,,,1.4808137065577343,0.0014653146789833527,1.7484326718344003e-05,0.0011443052623649455,0.9592665862223648,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,6.0,0,,,,,3.7742857524747913,0.00373478195892389,7.199375437219645e-05,0.0029235625702396096,0.7353819206496769,2.554879948902322,2.5487917458897713,2.5090206753002398,2.537564123364111
BLEND_opti,pressure,1.0,10.0,0,,,,,1.9772436478460877,0.001956558140131441,2.9699529902535884e-05,0.0015039628968352866,0.9272538644079031,1.0,1.0,1.0,1.0
ELM,pressure,1.0,10.0,75000,500.0,100.0,25.0,0.36390801093718567,2.1083081903313476,0.0020862515129039297,0.0004856941247058884,0.0015979002876861496,0.917290053180514,1.0624599124410121,1.0662864906042486,1.0742564825890386,1.0676676285447664
Persistence_P,pressure,1.0,10.0,0,,,,,1.9772436478460877,0.001956558140131441,2.9699529902535884e-05,0.0015039628968352866,0.9272538644079031,1.0,1.0,1.0,1.0
Persistence_Pcyclic,pressure,1.0,10.0,0,,,,,3.7746484692988775,0.003735158889895338,7.235080394730273e-05,0.0029239047320992135,0.7348799491847128,1.9441335542597755,1.909045692679703,1.864763450506739,1.905980899148739
