Method,quantity,LB_days,FH_hours,N_params,n_hidden,seed,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,temperature,1.0,1.0,149,,,0.785100333462597,0.04352482412929327,-0.0004132596111370474,0.03204213852392287,0.9819159122365279,0.8254807697073336,0.8058570727319212,0.8083464399717907,0.8132280941370151
ELM_corr,temperature,1.0,1.0,750,5.0,0.0,2.4849966690893988,0.13776461220819042,-0.005254943131916852,0.10922884487822933,0.8188251525699526,2.8139916715298186,2.5506958233846695,2.368926740522541,2.577871411812343
ELM_corr,temperature,1.0,1.0,750,5.0,1.0,2.2782023088819465,0.12630023272020505,0.005566736095164728,0.10168965727839921,0.8477242112472205,2.6197644860306584,2.3384341662799386,2.146319257762492,2.3681726366910296
ELM_corr,temperature,1.0,1.0,750,5.0,2.0,2.5046418583160857,0.13885371301433466,-0.0008670786552718397,0.11133143375819389,0.8159492671222829,2.868159301000473,2.570860398546243,2.3659191237344923,2.6016462744270696
ELM_corr,temperature,1.0,1.0,750,5.0,3.0,2.3275506885667494,0.12903603533714403,-0.00282765756656171,0.10287442256069546,0.8410558391848759,2.650286823246767,2.389087234559081,2.20644518961106,2.4152730824723023
ELM_corr,temperature,1.0,1.0,750,5.0,4.0,2.4475805183096933,0.13569031506058976,0.005148006232915799,0.1075627110633785,0.8242399134105421,2.771068149964876,2.5122904521791227,2.332295998786303,2.538551533643434
ELM_corr,temperature,1.0,1.0,1500,10.0,0.0,1.9866352681936426,0.11013617874268689,-0.008970874811890264,0.08659140919659321,0.8842069310215063,2.2307981428979646,2.039158580855188,1.910944622890418,2.0603004488811902
ELM_corr,temperature,1.0,1.0,1500,10.0,1.0,1.8456704970754196,0.10232129622405778,0.002836459075599694,0.08141335277904434,0.9000564842759136,2.0973992440087734,1.89446693703605,1.7568853011876226,1.916250494077482
ELM_corr,temperature,1.0,1.0,1500,10.0,2.0,2.159691032865694,0.11973013941353693,-0.0003156860390509559,0.09401108549836792,0.8631548113749875,2.421946436573664,2.2167896504064375,2.072968765183729,2.2372349507212768
ELM_corr,temperature,1.0,1.0,1500,10.0,3.0,2.3765542429510016,0.13175272133940064,0.0010897123836250172,0.10440735087413613,0.8342926604487593,2.6897786581360146,2.439386360933652,2.2709451673669334,2.466703395478867
ELM_corr,temperature,1.0,1.0,1500,10.0,4.0,2.175841296750665,0.12062548662621075,-0.005730336335357481,0.0960772847540067,0.8611004902397841,2.475176583826164,2.2333669002476015,2.0680304173328383,2.2588579671355347
ELM_corr,temperature,1.0,1.0,3750,25.0,0.0,1.755055108302961,0.09729771045848544,0.0022379514717314045,0.07704126022189953,0.9096292684500896,1.98476386773359,1.8014558289925997,1.6755609526300639,1.8205935497854178
ELM_corr,temperature,1.0,1.0,3750,25.0,1.0,1.6194486590585861,0.08977988553523245,0.0052930795921218,0.07068098051798456,0.9230549562575513,1.8209081194157377,1.662264172112673,1.5556485814323373,1.6796069576535828
ELM_corr,temperature,1.0,1.0,3750,25.0,2.0,1.73630499002499,0.096258231087928,0.002236499478880011,0.07530334204907534,0.9115499038897777,1.9399910124536537,1.782209988958088,1.6734044003741322,1.7985351339286246
ELM_corr,temperature,1.0,1.0,3750,25.0,3.0,1.6517486599811957,0.09157055075292792,0.002832677915305275,0.07157189200898782,0.919955000049635,1.8438600925740027,1.695418131018707,1.5917891739637224,1.7103557991854774
ELM_corr,temperature,1.0,1.0,3750,25.0,4.0,1.6701380836100186,0.09259003373512655,0.0013697580652653474,0.07287477755087675,0.9181627474397425,1.8774254851945995,1.7142937402410237,1.6039695188875416,1.7318962481077218
ELM_corr,temperature,1.0,1.0,7500,50.0,0.0,1.4417273661057242,0.07992727474128677,0.00538731046084012,0.062342651896560165,0.9390164690330698,1.6060931836602135,1.4798442255187405,1.3992426167443615,1.4950600086411052
